position 3_tdc_data,position 3_tac_data,position 3_pdc_data,position 3_pac_data_0,position 3_pac_data_1,position 3_pac_data_2,position 3_pac_data_3,position 3_pac_data_4,position 3_pac_data_5,position 3_pac_data_6,position 3_pac_data_7,position 3_pac_data_8,position 3_pac_data_9,position 3_pac_data_10,position 3_pac_data_11,position 3_pac_data_12,position 3_pac_data_13,position 3_pac_data_14,position 3_pac_data_15,position 3_pac_data_16,position 3_pac_data_17,position 3_pac_data_18,position 3_pac_data_19,position 3_pac_data_20,position 3_pac_data_21,position 3_elec_data_0,position 3_elec_data_1,position 3_elec_data_2,position 3_elec_data_3,position 3_elec_data_4,position 3_elec_data_5,position 3_elec_data_6,position 3_elec_data_7,position 3_elec_data_8,position 3_elec_data_9,position 3_elec_data_10,position 3_elec_data_11,position 3_elec_data_12,position 3_elec_data_13,position 3_elec_data_14,position 3_elec_data_15,position 3_elec_data_16,position 3_elec_data_17,position 3_elec_data_18,header_from_controller_start,frame_collection_from_header
1405.0,2058.0,2228.0,2072.0,2071.0,2075.0,2077.0,2074.0,2072.0,2068.0,2066.0,2067.0,2066.0,2067.0,2066.0,2067.0,2062.0,2060.0,2061.0,2055.0,2053.0,2058.0,2055.0,2052.0,2058.0,3139.0,3528.0,3507.0,3369.0,3484.0,3362.0,3182.0,3295.0,3268.0,3349.0,2986.0,3477.0,3464.0,3264.0,3444.0,3243.0,3445.0,3504.0,3407.0,79.800971632,0.019935963
1405.0,2053.0,2228.0,2053.0,2052.0,2058.0,2059.0,2059.0,2056.0,2051.0,2055.0,2054.0,2055.0,2061.0,2059.0,2057.0,2055.0,2053.0,2052.0,2054.0,2057.0,2063.0,2067.0,2066.0,2065.0,3140.0,3528.0,3507.0,3369.0,3484.0,3360.0,3181.0,3295.0,3267.0,3349.0,2984.0,3478.0,3465.0,3263.0,3442.0,3243.0,3445.0,3504.0,3407.0,79.820971043,0.019930851000000003
1405.0,2052.0,2228.0,2043.0,2041.0,2036.0,2036.0,2038.0,2042.0,2037.0,2036.0,2038.0,2030.0,2033.0,2038.0,2033.0,2032.0,2032.0,2029.0,2030.0,2032.0,2031.0,2027.0,2021.0,2026.0,3141.0,3528.0,3506.0,3369.0,3483.0,3361.0,3182.0,3296.0,3267.0,3349.0,2984.0,3478.0,3464.0,3262.0,3442.0,3241.0,3446.0,3504.0,3407.0,79.840978613,0.019946153
1405.0,2051.0,2229.0,2031.0,2030.0,2027.0,2025.0,2027.0,2021.0,2018.0,2015.0,2018.0,2019.0,2012.0,2015.0,2007.0,1997.0,1999.0,2001.0,2006.0,2002.0,2000.0,2001.0,2005.0,2002.0,3140.0,3527.0,3506.0,3368.0,3484.0,3361.0,3182.0,3295.0,3268.0,3350.0,2986.0,3477.0,3465.0,3263.0,3443.0,3242.0,3445.0,3504.0,3407.0,79.860969296,0.019945920000000002
1405.0,2048.0,2229.0,2001.0,2002.0,2005.0,2007.0,2004.0,2000.0,2004.0,1998.0,1996.0,2002.0,2003.0,1999.0,2000.0,2005.0,2002.0,2000.0,2003.0,2000.0,1997.0,2001.0,1995.0,1997.0,3138.0,3527.0,3506.0,3367.0,3483.0,3360.0,3182.0,3295.0,3268.0,3349.0,2989.0,3478.0,3466.0,3265.0,3444.0,3243.0,3445.0,3504.0,3407.0,79.880971605,0.019961732000000003
1405.0,2045.0,2229.0,2005.0,2007.0,2006.0,2001.0,2002.0,2005.0,2004.0,2004.0,2007.0,2009.0,2005.0,2007.0,2000.0,1998.0,2001.0,2005.0,2009.0,2004.0,2005.0,2008.0,2001.0,2003.0,3136.0,3526.0,3505.0,3366.0,3483.0,3359.0,3181.0,3295.0,3269.0,3349.0,2993.0,3480.0,3467.0,3267.0,3445.0,3245.0,3446.0,3504.0,3407.0,79.900976989,0.019943301
1405.0,2043.0,2230.0,1996.0,1990.0,1988.0,1986.0,1988.0,1986.0,1990.0,1988.0,1983.0,1973.0,1969.0,1971.0,1964.0,1971.0,1974.0,1971.0,1974.0,1969.0,1968.0,1973.0,1963.0,1965.0,3134.0,3526.0,3504.0,3365.0,3483.0,3358.0,3182.0,3295.0,3269.0,3349.0,2996.0,3481.0,3467.0,3268.0,3445.0,3246.0,3446.0,3506.0,3407.0,79.920972005,0.019919663
1405.0,2041.0,2233.0,1945.0,1946.0,1942.0,1939.0,1944.0,1944.0,1942.0,1943.0,1941.0,1937.0,1937.0,1937.0,1935.0,1930.0,1931.0,1929.0,1926.0,1927.0,1930.0,1926.0,1926.0,1923.0,3133.0,3526.0,3505.0,3365.0,3484.0,3359.0,3182.0,3294.0,3269.0,3350.0,3000.0,3481.0,3468.0,3269.0,3447.0,3247.0,3446.0,3504.0,3407.0,79.940970224,0.019939526000000003
1405.0,2035.0,2234.0,1930.0,1929.0,1931.0,1931.0,1933.0,1940.0,1937.0,1939.0,1944.0,1948.0,1946.0,1946.0,1949.0,1952.0,1956.0,1955.0,1957.0,1960.0,1962.0,1960.0,1961.0,1963.0,3132.0,3526.0,3505.0,3364.0,3482.0,3359.0,3182.0,3295.0,3269.0,3349.0,3004.0,3481.0,3468.0,3271.0,3447.0,3246.0,3446.0,3504.0,3407.0,79.960971164,0.019949375000000002
1405.0,2034.0,2233.0,2031.0,2030.0,2034.0,2035.0,2037.0,2035.0,2038.0,2041.0,2040.0,2045.0,2047.0,2047.0,2045.0,2048.0,2049.0,2051.0,2052.0,2052.0,2052.0,2060.0,2058.0,2057.0,3134.0,3525.0,3505.0,3365.0,3483.0,3358.0,3183.0,3294.0,3270.0,3349.0,3004.0,3481.0,3469.0,3271.0,3446.0,3247.0,3446.0,3504.0,3407.0,79.980973863,0.019960449
1405.0,2033.0,2232.0,2079.0,2079.0,2080.0,2079.0,2079.0,2085.0,2087.0,2082.0,2087.0,2086.0,2087.0,2091.0,2090.0,2091.0,2092.0,2090.0,2092.0,2093.0,2097.0,2095.0,2094.0,2096.0,3133.0,3525.0,3504.0,3364.0,3483.0,3359.0,3183.0,3294.0,3270.0,3350.0,3002.0,3481.0,3467.0,3269.0,3445.0,3245.0,3445.0,3503.0,3406.0,80.000973414,0.019934025
1405.0,2030.0,2232.0,2063.0,2058.0,2058.0,2052.0,2045.0,2042.0,2039.0,2038.0,2032.0,2040.0,2035.0,2027.0,2025.0,2030.0,2027.0,2027.0,2032.0,2030.0,2030.0,2030.0,2023.0,2028.0,3136.0,3526.0,3505.0,3365.0,3484.0,3358.0,3183.0,3294.0,3269.0,3348.0,2998.0,3479.0,3467.0,3267.0,3444.0,3245.0,3445.0,3504.0,3408.0,80.020971499,0.019931757
1406.0,2029.0,2232.0,2019.0,2021.0,2023.0,2020.0,2023.0,2028.0,2025.0,2024.0,2024.0,2028.0,2030.0,2027.0,2026.0,2023.0,2021.0,2017.0,2012.0,2010.0,2015.0,2017.0,2013.0,2011.0,3136.0,3526.0,3506.0,3366.0,3483.0,3359.0,3184.0,3295.0,3269.0,3349.0,2998.0,3481.0,3467.0,3267.0,3446.0,3245.0,3444.0,3503.0,3407.0,80.040971529,0.01996635
1405.0,2026.0,2234.0,1983.0,1986.0,1980.0,1976.0,1975.0,1981.0,1978.0,1979.0,1973.0,1969.0,1972.0,1972.0,1972.0,1976.0,1972.0,1970.0,1972.0,1974.0,1973.0,1976.0,1973.0,1979.0,3137.0,3525.0,3506.0,3366.0,3483.0,3359.0,3183.0,3295.0,3268.0,3349.0,3000.0,3481.0,3468.0,3269.0,3446.0,3245.0,3446.0,3505.0,3408.0,80.060976286,0.019967092000000002
1405.0,2023.0,2233.0,2010.0,2014.0,2017.0,2020.0,2025.0,2022.0,2027.0,2026.0,2030.0,2032.0,2034.0,2040.0,2039.0,2033.0,2036.0,2040.0,2040.0,2041.0,2040.0,2043.0,2039.0,2041.0,3137.0,3525.0,3504.0,3365.0,3483.0,3359.0,3183.0,3295.0,3269.0,3349.0,3001.0,3481.0,3468.0,3268.0,3445.0,3245.0,3446.0,3504.0,3408.0,80.080973953,0.019922762
1405.0,2023.0,2233.0,2056.0,2056.0,2050.0,2052.0,2049.0,2055.0,2055.0,2054.0,2047.0,2052.0,2051.0,2050.0,2050.0,2051.0,2053.0,2044.0,2043.0,2043.0,2041.0,2043.0,2035.0,2036.0,3135.0,3525.0,3505.0,3365.0,3483.0,3359.0,3183.0,3295.0,3269.0,3349.0,3000.0,3480.0,3467.0,3268.0,3444.0,3245.0,3445.0,3505.0,3407.0,80.101025036,0.019991853
1405.0,2021.0,2233.0,2009.0,2010.0,2008.0,2007.0,2009.0,2006.0,2007.0,2009.0,2008.0,2012.0,2008.0,2005.0,2005.0,2013.0,2010.0,2005.0,2007.0,2011.0,2009.0,2009.0,2007.0,2004.0,3136.0,3526.0,3504.0,3364.0,3483.0,3359.0,3184.0,3295.0,3269.0,3349.0,3002.0,3481.0,3467.0,3270.0,3445.0,3247.0,3446.0,3504.0,3407.0,80.120972915,0.019879549
1406.0,2018.0,2234.0,2016.0,2014.0,2016.0,2017.0,2015.0,2017.0,2019.0,2015.0,2019.0,2024.0,2027.0,2024.0,2026.0,2026.0,2020.0,2018.0,2018.0,2016.0,2017.0,2021.0,2019.0,2019.0,3135.0,3525.0,3504.0,3365.0,3483.0,3359.0,3183.0,3295.0,3269.0,3349.0,3003.0,3480.0,3468.0,3269.0,3446.0,3246.0,3445.0,3504.0,3407.0,80.140975338,0.019964477
1405.0,2016.0,2234.0,2015.0,2018.0,2012.0,2014.0,2007.0,2009.0,2011.0,2008.0,2008.0,2006.0,2008.0,2004.0,1999.0,2004.0,2001.0,1997.0,2002.0,1998.0,1994.0,1997.0,1994.0,1994.0,3137.0,3525.0,3505.0,3366.0,3483.0,3358.0,3184.0,3295.0,3269.0,3349.0,3000.0,3480.0,3467.0,3267.0,3444.0,3244.0,3445.0,3504.0,3408.0,80.160974468,0.019942631000000002
1405.0,2010.0,2236.0,1965.0,1968.0,1967.0,1967.0,1968.0,1967.0,1962.0,1963.0,1960.0,1952.0,1954.0,1951.0,1947.0,1941.0,1942.0,1945.0,1939.0,1931.0,1927.0,1930.0,1928.0,1924.0,3137.0,3526.0,3504.0,3365.0,3483.0,3358.0,3183.0,3294.0,3269.0,3349.0,3003.0,3481.0,3467.0,3269.0,3446.0,3245.0,3445.0,3504.0,3408.0,80.180979616,0.019935750000000002
